"Date","Time","Cloud Condition","Rain Condition","Brightness Condition","Cloud Value","Cloud Sensor Temperature","Rain Value","Brightness Value","Ambient Temperature","Rain Heating Percentage","Rain Sensor Temperature","Heating Status","Switch Status","Read Cycle","Timeout Errors","Safe Status","Wind Condition","Wind Value",
"2018-06-19","20:16:36","Clear","Dry","Very Light","-14,9","23,3","2688","1","23,3","12%","26,8","Heating UP","Opened","4,056","0","Safe","Calm","2,2",
"2018-06-19","20:16:46","Clear","Dry","Very Light","-14,1","23,3","2681","1","23,3","14%","27,0","","Opened","3,697","0","Safe","Calm","2,8",
"2018-06-19","20:16:56","Clear","Dry","Very Light","-15,0","23,3","2681","1","23,3","14%","27,1","","Opened","3,697","0","Safe","Calm","4,2",
"2018-06-19","20:17:06","Clear","Dry","Very Light","-14,4","23,2","2680","1","23,2","14%","27,1","","Opened","3,696","0","Safe","Calm","4,7",
"2018-06-19","20:17:16","Clear","Dry","Very Light","-14,2","23,3","2681","1","23,3","14%","27,3","","Opened","3,697","0","Safe","Windy","6,2",
"2018-06-19","20:17:26","Clear","Dry","Very Light","-14,7","23,2","2681","1","23,2","14%","27,3","","Opened","3,744","0","Safe","Windy","6,3",
"2018-06-19","20:17:36","Clear","Dry","Very Light","-14,9","23,2","2681","1","23,2","14%","27,2","","Opened","3,699","0","Safe","Windy","6,2",
"2018-06-19","20:17:46","Clear","Dry","Very Light","-14,3","23,2","2681","1","23,2","14%","27,3","","Opened","3,697","0","Safe","Windy","6,3",
"2018-06-19","20:17:56","Clear","Dry","Very Light","-14,7","23,2","2681","1","23,2","14%","27,3","","Opened","3,697","0","Safe","Windy","5,8",
"2018-06-19","20:18:06","Clear","Dry","Very Light","-14,9","23,2","2681","1","23,2","14%","27,4","","Opened","3,698","0","Safe","Windy","6,7",
"2018-06-19","20:18:16","Clear","Dry","Very Light","-14,6","23,2","2681","1","23,2","14%","27,4","","Opened","3,852","0","Safe","Windy","6,3",
"2018-06-19","20:18:26","Clear","Dry","Very Light","-14,7","23,2","2681","1","23,2","14%","27,4","","Opened","3,728","0","Safe","Windy","6,2",
"2018-06-19","20:18:36","Clear","Dry","Very Light","-14,9","23,1","2681","1","23,1","14%","27,3","","Opened","3,697","0","Safe","Windy","6,5",
"2018-06-19","20:18:46","Clear","Dry","Very Light","-13,9","23,2","2681","1","23,2","14%","27,4","","Opened","3,699","0","Safe","Windy","6,3",
"2018-06-19","20:18:56","Clear","Dry","Very Light","-14,9","23,1","2682","1","23,1","14%","27,4","","Opened","3,697","0","Safe","Windy","6,7",
"2018-06-19","20:19:06","Clear","Dry","Very Light","-14,4","23,1","2681","1","23,1","14%","27,5","Heating DOWN","Opened","3,697","0","Safe","Windy","6,2",
"2018-06-19","20:19:16","Clear","Dry","Very Light","-14,0","23,1","2688","1","23,1","13%","27,5","Heating DOWN","Opened","3,697","0","Safe","Windy","5,5",
