"Date","Time","Cloud Condition","Rain Condition","Brightness Condition","Cloud Value","Cloud Sensor Temperature","Rain Value","Brightness Value","Ambient Temperature","Rain Heating Percentage","Rain Sensor Temperature","Heating Status","Switch Status","Read Cycle","Timeout Errors","Safe Status","Wind Condition","Wind Value",
"2018-06-19","20:25:41","Clear","Dry","Very Light","-14,7","22,4","2688","1","22,4","12%","25,8","Heating UP","Opened","3,697","0","Safe","Calm","2,3",
"2018-06-19","20:25:51","Clear","Dry","Very Light","-14,1","22,4","2688","1","22,4","14%","25,9","","Opened","3,698","0","Safe","Calm","3,0",
"2018-06-19","20:26:01","Clear","Dry","Very Light","-14,2","22,4","2688","1","22,4","14%","25,9","Heating UP","Opened","3,687","0","Safe","Calm","3,7",
"2018-06-19","20:26:11","Clear","Dry","Very Light","-14,3","22,4","2688","1","22,4","16%","26,0","","Opened","3,697","0","Safe","Calm","4,2",
"2018-06-19","20:26:21","Clear","Dry","Very Light","-14,0","22,5","2688","1","22,5","16%","26,2","","Opened","3,697","0","Safe","Calm","4,5",
"2018-06-19","20:26:31","Clear","Dry","Very Light","-14,7","22,5","2688","1","22,5","16%","26,4","","Opened","3,729","0","Safe","Windy","5,2",
"2018-06-19","20:26:41","Clear","Dry","Very Light","-14,5","22,4","2688","1","22,4","16%","26,4","","Opened","3,699","0","Safe","Calm","4,8",
"2018-06-19","20:26:51","Clear","Dry","Very Light","-14,6","22,4","2688","1","22,4","16%","26,4","","Opened","3,697","0","Safe","Calm","4,8",
"2018-06-19","20:27:01","Clear","Dry","Very Light","-13,7","22,4","2688","1","22,4","16%","26,6","","Opened","3,697","0","Safe","Calm","4,5",
"2018-06-19","20:27:11","Clear","Dry","Very Light","-14,0","22,4","2688","1","22,4","16%","26,8","Heating DOWN","Opened","3,697","0","Safe","Calm","4,0",
"2018-06-19","20:27:21","Clear","Dry","Very Light","-15,0","22,4","2686","1","22,4","15%","26,8","Heating DOWN","Opened","3,697","0","Safe","Calm","5,0",
"2018-06-19","20:27:31","Clear","Dry","Very Light","-14,9","22,3","2688","1","22,3","14%","26,8","Heating DOWN","Opened","3,744","0","Safe","Calm","5,0",
"2018-06-19","20:27:41","Clear","Dry","Very Light","-15,5","22,3","2688","1","22,3","13%","26,7","","Opened","3,698","0","Safe","Windy","5,5",
"2018-06-19","20:27:51","Clear","Dry","Very Light","-14,8","22,2","2688","1","22,2","13%","26,6","","Opened","3,698","0","Safe","Windy","6,2",
"2018-06-19","20:28:01","Clear","Dry","Very Light","-14,6","22,2","2688","1","22,2","13%","26,5","","Opened","3,697","0","Safe","Windy","7,5",
"2018-06-19","20:28:11","Clear","Dry","Very Light","-15,3","22,2","2688","1","22,2","13%","26,4","","Opened","3,698","0","Safe","Windy","9,3",
"2018-06-19","20:28:21","Clear","Dry","Very Light","-14,1","22,2","2688","1","22,2","13%","26,4","","Opened","3,696","0","Safe","Windy","8,8",
"2018-06-19","20:28:31","Clear","Dry","Very Light","-14,0","22,2","2688","1","22,2","13%","26,5","","Opened","3,744","0","Safe","Windy","7,8",
"2018-06-19","20:28:41","Clear","Dry","Very Light","-14,5","22,2","2688","1","22,2","13%","26,5","","Opened","3,697","0","Safe","Windy","6,8",
"2018-06-19","20:28:51","Clear","Dry","Very Light","-14,4","22,2","2688","1","22,2","13%","26,5","","Opened","3,697","0","Safe","Windy","6,0",
"2018-06-19","20:29:01","Clear","Dry","Very Light","-13,9","22,2","2688","1","22,2","13%","26,6","Heating DOWN","Opened","3,697","0","Safe","Calm","4,5",
"2018-06-19","20:29:11","Clear","Dry","Very Light","-14,9","22,2","2688","1","22,2","12%","26,5","","Opened","3,697","0","Safe","Calm","3,8",
"2018-06-19","20:29:21","Clear","Dry","Very Light","-15,0","22,2","2688","1","22,2","12%","26,4","","Opened","3,697","0","Safe","Calm","4,2",
"2018-06-19","20:29:32","Clear","Dry","Very Light","-14,7","22,1","2688","1","22,1","12%","26,2","","Opened","3,744","0","Safe","Calm","4,5",
"2018-06-19","20:29:42","Clear","Dry","Very Light","-14,3","22,1","2688","1","22,1","12%","26,2","","Opened","3,697","0","Safe","Calm","4,3",
"2018-06-19","20:29:52","Clear","Dry","Very Light","-14,4","22,1","2688","1","22,1","12%","26,2","","Opened","3,697","0","Safe","Calm","4,3",
"2018-06-19","20:30:02","Clear","Dry","Very Light","-14,6","22,1","2688","1","22,1","12%","26,2","","Opened","3,697","0","Safe","Calm","5,0",
"2018-06-19","20:30:12","Clear","Dry","Very Light","-14,8","22,1","2688","1","22,1","12%","26,1","","Opened","3,697","0","Safe","Calm","4,8",
"2018-06-19","20:30:22","Clear","Dry","Very Light","-14,8","22,1","2688","1","22,1","12%","26,1","","Opened","3,696","0","Safe","Calm","5,0",
"2018-06-19","20:30:32","Clear","Dry","Very Light","-14,6","22,1","2688","1","22,1","12%","26,0","","Opened","3,744","0","Safe","Windy","5,2",
"2018-06-19","20:30:42","Clear","Dry","Very Light","-14,7","22,0","2688","1","22,0","12%","26,0","","Opened","3,698","0","Safe","Windy","5,7",
"2018-06-19","20:30:52","Clear","Dry","Very Light","-14,9","22,0","2688","1","22,0","12%","26,0","","Opened","3,698","0","Safe","Windy","6,8",
"2018-06-19","20:31:02","Clear","Dry","Very Light","-15,0","22,0","2688","1","22,0","12%","25,9","","Opened","3,697","0","Safe","Windy","7,5",
"2018-06-19","20:31:12","Clear","Dry","Very Light","-14,5","22,0","2688","1","22,0","12%","25,8","","Opened","3,699","0","Safe","Windy","7,5",
"2018-06-19","20:31:22","Clear","Dry","Very Light","-15,0","21,9","2688","1","21,9","12%","25,7","","Opened","3,713","0","Safe","Windy","7,3",
"2018-06-19","20:31:32","Clear","Dry","Very Light","-14,4","21,9","2688","1","21,9","12%","25,7","","Opened","3,743","0","Safe","Windy","7,0",
"2018-06-19","20:31:42","Clear","Dry","Very Light","-14,4","21,9","2688","1","21,9","12%","25,8","","Opened","3,698","0","Safe","Windy","6,5",
"2018-06-19","20:31:52","Clear","Dry","Very Light","-14,4","21,9","2688","1","21,9","12%","25,8","","Opened","3,697","0","Safe","Windy","5,3",
